|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                               IC 2488, IC 2488, IC 2488 |     9h27m39s |    -57d00m00s |   779 |       992 |      -- |  419 |     3 |    1135.33 |   277.8314 |    -4.4176 |   -8146.00 |   -1121.40 |     -60.95 |
|                               ASCC 52, ASCC 52, ASCC 52 |  9h27m58.25s | -54d15m17.75s |   107 |       993 |      -- |  485 |     3 |    1733.33 |   275.9611 |    -2.4047 |   -8120.34 |   -1722.44 |     -46.31 |
|                                Teutsch 103, Teutsch 103 |   9h28m36.5s |    -46d36m00s |    -- |       994 |      -- |  665 |     2 |    2726.50 |   270.7516 |     3.2071 |   -8263.76 |   -2722.00 |     179.41 |
|                                                FSR 1577 |     9h28m46s |    -76d05m06s |    -- |        -- |      -- |   35 |     1 |    1561.00 |   291.6613 |   -17.8755 |   -7753.14 |   -1380.73 |    -453.93 |
|                   Ruprecht 78, Ruprecht 78, Ruprecht 78 |     9h29m06s |    -53d42m18s |  1627 |       995 |      -- |  503 |     3 |    1662.67 |   275.7020 |    -1.8919 |   -8135.03 |   -1653.54 |     -28.43 |
|                                                FSR 1484 |     9h29m47s |    -50d40m54s |    -- |        -- |      -- |  580 |     1 |    1847.00 |   273.7013 |     0.3774 |   -8180.69 |   -1843.11 |      38.78 |
|                                                FSR 1407 |     9h29m51s |    -33d50m06s |    -- |        -- |      -- |  925 |     1 |    3860.00 |   261.9614 |    12.5541 |   -8824.11 |   -3730.69 |     867.72 |
|                         Pismis 14, Pismis 14, Pismis 14 |     9h29m52s |    -52d46m54s |  1443 |       996 |      -- |  524 |     3 |    1029.67 |   275.1510 |    -1.1420 |   -8207.60 |   -1025.30 |       6.18 |
|                            NGC 2910, NGC 2910, NGC 2910 |   9h30m29.5s |    -52d55m18s |  1171 |       997 |      -- |  521 |     3 |    2365.33 |   275.3157 |    -1.1794 |   -8081.03 |   -2354.66 |     -22.40 |
|                            Basel 20, Basel 20, Basel 20 |   9h31m03.5s |    -56d25m24s |   173 |       998 |      -- |  436 |     3 |    1809.33 |   277.7733 |    -3.6775 |   -8056.12 |   -1789.02 |     -89.85 |
|                          BH 72, BH 72, vdBergh-Hagen 72 |   9h31m23.5s |    -53d02m33s |   316 |       999 |      -- |  516 |     3 |    1740.67 |   275.4972 |    -1.1751 |   -8133.36 |   -1732.30 |      -9.24 |
|                          BH 73, BH 73, vdBergh-Hagen 73 |     9h31m54s |    -50d12m57s |   317 |      1000 |      -- |  592 |     3 |    2608.67 |   273.6290 |     0.9478 |   -8134.72 |   -2603.08 |      69.61 |
|                                                FSR 1417 |     9h32m22s |    -35d58m48s |    -- |        -- |      -- |  880 |     1 |    2210.00 |   263.8692 |    11.3776 |   -8529.93 |   -2154.18 |     463.72 |
|                                                FSR 1391 |     9h32m51s |    -28d50m54s |    -- |        -- |      -- | 1063 |     1 |    1753.00 |   258.7994 |    16.5433 |   -8624.75 |   -1648.43 |     527.21 |
|                                               MWSC 5679 |     9h33m00s |    -78d58m12s |    -- |        -- |      -- |   18 |     1 |    1122.00 |   294.0275 |   -19.7078 |   -7871.10 |    -964.75 |    -352.76 |
|                            NGC 2925, NGC 2925, NGC 2925 |     9h33m10s |    -53d23m06s |  1172 |      1001 |      -- |  509 |     3 |     774.00 |   275.9250 |    -1.2456 |   -8220.13 |    -769.68 |       9.91 |
|                                                FSR 1489 |     9h33m16s |    -51d11m42s |    -- |        -- |      -- |  563 |     1 |    1211.00 |   274.4528 |     0.3758 |   -8205.92 |   -1207.32 |      34.64 |
|                                  Teutsch 66, Teutsch 66 |   9h33m32.5s |  -52d22m40.5s |    -- |      1002 |      -- |  534 |     2 |    5072.50 |   275.2847 |    -0.4662 |   -7832.91 |   -5050.77 |     -15.80 |
|                                                FSR 1507 |     9h33m56s |    -56d14m54s |    -- |        -- |      -- |  446 |     1 |    1445.00 |   277.9465 |    -3.2781 |   -8100.78 |   -1428.78 |     -56.28 |
|                            Turner 5, Turner 5, FSR 1431 |   9h34m09.5s |  -36d33m10.5s |  1732 |      1003 |      -- |  861 |     3 |    1047.67 |   264.5390 |    11.2127 |   -8397.10 |   -1023.00 |     231.04 |
|                         Pismis 15, Pismis 15, Pismis 15 |     9h34m45s |    -48d01m54s |  1444 |      1004 |      -- |  630 |     3 |    3382.67 |   272.4917 |     2.8703 |   -8152.53 |   -3375.23 |     195.90 |
|                          BH 75, BH 75, vdBergh-Hagen 75 |   9h34m45.5s |    -54d42m00s |   318 |      1005 |      -- |  473 |     3 |    2828.00 |   276.9862 |    -2.0571 |   -7956.54 |   -2805.19 |     -75.63 |
|                                  ESO 315-14, ESO 315 14 |     9h35m25s |    -39d32m00s |   638 |      1006 |      -- |   -- |     2 |     894.50 |   266.7948 |     9.2086 |   -8348.86 |    -881.59 |     170.30 |
|                                      NGC 2932, NGC 2932 |     9h35m28s |    -46d48m36s |  1173 |        -- |      -- |  662 |     2 |    1459.50 |   271.7570 |     3.8548 |   -8254.99 |   -1455.51 |     124.97 |
|                                               MWSC 4140 |     9h36m36s |    -77d28m48s |    -- |        -- |      -- |   28 |     1 |    2465.00 |   293.0400 |   -18.5317 |   -7387.80 |   -2150.75 |    -759.42 |
|                                                FSR 1405 |     9h37m52s |    -31d36m54s |    -- |        -- |      -- |  980 |     1 |    3860.00 |   261.6160 |    15.3214 |   -8839.45 |   -3683.03 |    1048.69 |
|                                      FSR 1500, FSR 1500 |   9h37m53.5s |    -53d57m28s |    -- |      1007 |      -- |  494 |     2 |    1380.00 |   276.8283 |    -1.2000 |   -8136.01 |   -1369.91 |      -2.44 |
|                               ASCC 53, ASCC 53, ASCC 53 |   9h38m02.5s | -59d30m17.75s |   108 |      1008 |      -- |  324 |     3 |    2262.00 |   280.5473 |    -5.3221 |   -7888.38 |   -2214.20 |    -184.15 |
|                                        SAI 108, SAI 108 |     9h38m53s |    -52d56m47s |    -- |      1009 |      -- |  520 |     2 |    2960.00 |   276.2669 |    -0.3459 |   -7976.91 |   -2942.26 |       8.08 |
|                            NGC 2972, NGC 2972, NGC 2972 |     9h40m13s |    -50d19m27s |  1174 |      1010 |      -- |  586 |     3 |    1967.33 |   274.6881 |     1.7581 |   -8139.04 |   -1959.83 |      86.83 |
|                                  Hogg 1, Hogg 1, Hogg 1 |     9h40m33s |    -50d34m54s |   743 |      1011 |      -- |  584 |     3 |    1062.67 |   274.8979 |     1.5995 |   -8209.17 |   -1058.37 |      56.37 |
|                   Ruprecht 79, Ruprecht 79, Ruprecht 79 |     9h40m57s |    -53d51m00s |  1628 |      1012 |      -- |  499 |     3 |    1983.00 |   277.0949 |    -0.8212 |   -8055.15 |   -1967.61 |      -2.22 |
|                                                NGC 2982 |     9h42m01s |    -44d01m12s |    -- |      1013 |      -- |   -- |     1 |    2624.00 |   270.7517 |     6.7012 |   -8264.77 |   -2605.85 |     333.08 |
|                   Ruprecht 80, Ruprecht 80, Ruprecht 80 |   9h42m03.5s |    -44d01m09s |  1630 |      1014 |      -- |  722 |     3 |    2394.33 |   270.7568 |     6.7068 |   -8267.64 |   -2377.74 |     306.52 |
|                                      FSR 1496, FSR 1496 |   9h43m00.5s |    -52d07m14s |    -- |      1015 |      -- |  537 |     2 |    2290.00 |   276.1966 |     0.6888 |   -8052.70 |   -2276.46 |      53.72 |
|                                                FSR 1496 |     9h43m02s |    -52d07m28s |    -- |      1016 |      -- |   -- |     1 |    2290.00 |   276.2021 |     0.6883 |   -8052.49 |   -2276.43 |      53.70 |
|                                        SAI 109, SAI 109 |   9h43m35.5s |  -50d47m16.5s |    -- |      1017 |      -- |  575 |     2 |    6468.00 |   275.3973 |     1.7591 |   -7691.22 |   -6436.29 |     223.56 |
|                          BH 78, BH 78, vdBergh-Hagen 78 |     9h43m45s |    -56d33m27s |   319 |      1018 |      -- |  433 |     3 |    4788.33 |   279.1689 |    -2.6079 |   -7538.46 |   -4722.26 |    -193.36 |
|                                               MWSC 5680 |     9h43m48s |    -78d12m18s |    -- |        -- |      -- |   24 |     1 |    1050.00 |   293.8598 |   -18.7884 |   -7898.97 |    -909.10 |    -312.49 |
|                                                NGC 2995 |     9h44m04s |    -54d46m48s |  1175 |        -- |      -- |   -- |     1 |        nan |   278.0468 |    -1.2282 |        nan |        nan |        nan |
|                                 BH 79, vdBergh-Hagen 79 |     9h44m07s |    -53d18m45s |   320 |        -- |      -- |  510 |     2 |    5135.00 |   277.0996 |    -0.1072 |   -7665.34 |   -5095.62 |      15.32 |
|                               ASCC 54, ASCC 54, ASCC 54 |  9h44m46.25s | -54d26m14.75s |   109 |      1019 |      -- |  481 |     3 |    1383.67 |   277.9023 |    -0.9013 |   -8109.82 |   -1370.36 |       4.62 |
|                   Ruprecht 81, Ruprecht 81, Ruprecht 81 |     9h45m12s |    -44d06m00s |  1631 |      1020 |      -- |  719 |     3 |    2006.00 |   271.2397 |     7.0155 |   -8256.09 |   -1990.52 |     271.86 |
|                   Ruprecht 82, Ruprecht 82, Ruprecht 82 |   9h45m45.5s |    -53d59m03s |  1632 |      1021 |      -- |  492 |     3 |    2379.33 |   277.7196 |    -0.4620 |   -7980.43 |   -2357.69 |       6.77 |
|                                               MWSC 5051 |     9h45m52s |     -7d00m18s |    -- |        -- |      -- | 1501 |     1 |    1365.00 |   243.2750 |    33.6172 |   -8808.69 |   -1015.28 |     784.38 |
|                                                FSR 1541 |     9h46m52s |    -64d37m54s |    -- |        -- |      -- |  111 |     1 |    3575.00 |   284.7302 |    -8.5008 |   -7402.66 |   -3419.52 |    -504.39 |
|                                                FSR 1451 |     9h47m37s |    -37d03m18s |    -- |        -- |      -- |  850 |     1 |    1470.00 |   266.9226 |    12.6515 |   -8375.91 |   -1432.24 |     349.21 |
|                                      FSR 1509, FSR 1509 |     9h48m01s |  -55d04m00.5s |    -- |      1022 |      -- |  464 |     2 |    2144.50 |   278.6657 |    -1.0821 |   -7977.04 |   -2119.64 |     -14.55 |
|                            NGC 3033, NGC 3033, NGC 3033 |     9h48m34s |    -56d25m24s |  1176 |      1023 |      -- |  438 |     3 |     954.67 |   279.5913 |    -2.0771 |   -8141.11 |    -940.70 |      -8.12 |
|                                                FSR 1513 |     9h48m36s |    -55d47m24s |    -- |        -- |      -- |  454 |     1 |    1685.00 |   279.1910 |    -1.5861 |   -8031.07 |   -1662.73 |     -20.52 |
|                   Ruprecht 84, Ruprecht 84, Ruprecht 84 |     9h49m08s |    -65d14m42s |  1634 |      1024 |      -- |   95 |     3 |    1715.33 |   285.3163 |    -8.8139 |   -7853.06 |   -1634.87 |    -237.29 |
|                            NGC 3036, NGC 3036, NGC 3036 |  9h49m15.75s | -62d40m13.25s |  1177 |      1026 |      -- |  168 |     3 |    1222.67 |   283.6602 |    -6.8296 |   -8013.73 |   -1179.65 |    -119.33 |
|                   Ruprecht 83, Ruprecht 83, Ruprecht 83 |     9h49m17s |    -54d36m21s |  1633 |      1025 |      -- |  475 |     3 |    3646.00 |   278.5127 |    -0.6105 |   -7760.41 |   -3605.63 |     -13.61 |
|                                                FSR 1566 |     9h50m35s |    -72d45m42s |    -- |        -- |      -- |   44 |     1 |    1537.00 |   290.3867 |   -14.4599 |   -7782.75 |   -1395.09 |    -358.48 |
|                         Pismis 16, Pismis 16, Pismis 16 |   9h51m15.5s |    -53d10m12s |  1445 |      1027 |      -- |  513 |     3 |    1865.67 |   277.8298 |     0.6856 |   -8045.74 |   -1848.14 |      48.50 |
|                                  Hogg 2, Hogg 2, Hogg 2 |     9h51m34s |    -56d18m48s |   754 |      1028 |      -- |  444 |     3 |    1212.67 |   279.8432 |    -1.7288 |   -8092.86 |   -1194.27 |     -10.26 |
|                               ASCC 55, ASCC 55, ASCC 55 |  9h54m08.75s |    -57d04m42s |   110 |      1029 |      -- |  417 |     3 |    1056.67 |   280.5985 |    -2.1040 |   -8105.87 |   -1037.94 |     -12.43 |
|                                                FSR 1475 |     9h54m34s |    -42d14m06s |    -- |        -- |      -- |  756 |     1 |    2662.00 |   271.3589 |     9.5414 |   -8236.27 |   -2624.44 |     468.04 |
|             Collinder 213, Collinder 213, Collinder 213 |     9h54m41s | -50d55m17.75s |   374 |      1030 |      -- |  571 |     3 |    1421.33 |   276.8341 |     2.7693 |   -8130.80 |   -1409.59 |      95.12 |
|                                                FSR 1521 |     9h55m19s |    -56d36m54s |    -- |        -- |      -- |  431 |     1 |    1499.00 |   280.4364 |    -1.6413 |   -8028.67 |   -1473.60 |     -16.82 |
|                      ESO 435-09, ESO 435 09, ESO 435-09 |   9h55m30.5s |    -28d58m33s |   673 |      1031 |      -- | 1061 |     3 |    1503.33 |   262.7040 |    19.8364 |   -8477.89 |   -1402.68 |     537.71 |
|                Ruprecht 160, Ruprecht 160, Ruprecht 160 |     9h56m21s |    -47d01m54s |  1544 |      1032 |      -- |  658 |     3 |    1458.00 |   274.6305 |     5.9912 |   -8182.40 |   -1445.30 |     178.80 |
|                                                FSR 1498 |     9h56m24s |    -50d16m12s |    -- |        -- |      -- |  589 |     1 |    4936.00 |   276.6445 |     3.4498 |   -7728.89 |   -4893.96 |     322.15 |
|                                                FSR 1413 |     9h56m38s |    -29d26m42s |    -- |        -- |      -- | 1040 |     1 |    2255.00 |   263.2275 |    19.6426 |   -8547.94 |   -2108.96 |     785.83 |
|                                                FSR 1517 |     9h57m00s |    -54d49m06s |    -- |        -- |      -- |  469 |     1 |    6643.00 |   279.5157 |    -0.0804 |   -7201.79 |   -6551.59 |      14.10 |
|                                          Hogg 3, Hogg 4 |   9h57m45.5s |    -54d39m15s |   759 |        -- |      -- |  474 |     2 |     886.00 |   279.5016 |     0.1164 |   -8153.70 |    -873.84 |      28.32 |
|                                        Hogg 4, FSR 1518 |     9h58m37s |    -54d33m32s |   760 |      1034 |      -- |   -- |     2 |     909.50 |   279.5418 |     0.2678 |   -8149.18 |    -896.91 |      30.76 |
|                      ESO 435-17, ESO 435 17, ESO 435-17 |   9h58m45.5s |    -30d54m33s |   674 |      1033 |      -- |  996 |     3 |    2402.00 |   264.6030 |    18.8252 |   -8511.28 |   -2263.43 |     802.77 |
|                                                FSR 1554 |     9h58m49s |    -67d44m18s |    -- |        -- |      -- |   69 |     1 |    1513.00 |   287.6703 |   -10.1390 |   -7848.74 |   -1419.10 |    -240.81 |
|                                                FSR 1481 |     9h59m20s |    -43d54m30s |    -- |        -- |      -- |  726 |     1 |    4104.00 |   273.1035 |     8.7725 |   -8078.34 |   -4050.04 |     652.18 |
|                                                DBSB 125 |     9h59m24s |    -57d04m12s |    -- |        -- |      -- |  418 |     1 |    2817.00 |   281.1568 |    -1.6585 |   -7755.38 |   -2762.61 |     -56.30 |
|                                                FSR 1518 |     9h59m31s |    -54d30m36s |    -- |        -- |      -- |  478 |     1 |    1819.00 |   279.6158 |     0.3860 |   -7996.08 |   -1793.40 |      38.26 |
|                                                FSR 1491 |     9h59m55s |    -46d59m06s |    -- |        -- |      -- |  660 |     1 |    2234.00 |   275.0843 |     6.4015 |   -8102.40 |   -2211.34 |     275.43 |
|                                                FSR 1524 |    10h00m00s |    -57d33m18s |    -- |        -- |      -- |  405 |     1 |    2541.00 |   281.5155 |    -1.9949 |   -7793.29 |   -2488.34 |     -63.11 |
|                            NGC 3105, NGC 3105, NGC 3105 |    10h00m41s |    -54d47m03s |  1178 |      1035 |      -- |  471 |     3 |    7905.00 |   279.9160 |     0.2698 |   -6938.59 |   -7786.82 |      59.79 |
|                                                 DBSB 40 |    10h01m19s |    -57d42m18s |    -- |        -- |      -- |  397 |     1 |    1358.00 |   281.7467 |    -2.0081 |   -8023.81 |   -1328.74 |     -21.49 |
|                          BH 84, BH 84, vdBergh-Hagen 84 |    10h01m20s |    -58d12m57s |   321 |      1036 |      -- |  379 |     3 |    1550.67 |   282.0563 |    -2.4146 |   -7976.57 |   -1515.12 |     -39.38 |
|                   Ruprecht 85, Ruprecht 85, Ruprecht 85 | 10h01m35.25s |    -55d02m30s |  1635 |      1037 |      -- |  465 |     3 |    1362.00 |   280.1748 |     0.1424 |   -8059.35 |   -1340.58 |      29.60 |
|                   Ruprecht 86, Ruprecht 86, Ruprecht 86 |    10h01m40s |    -59d27m39s |  1636 |      1038 |      -- |  326 |     3 |    4782.00 |   282.8410 |    -3.3829 |   -7239.95 |   -4654.28 |    -258.64 |
|                          BH 85, BH 85, vdBergh-Hagen 85 |    10h01m52s |    -49d34m33s |   322 |      1039 |      -- |  607 |     3 |    1432.00 |   276.9199 |     4.5363 |   -8127.60 |   -1417.12 |     139.70 |
|                            NGC 3114, NGC 3114, NGC 3114 |  10h02m15.5s |    -60d06m54s |  1179 |      1040 |      -- |  290 |     3 |     922.00 |   283.2946 |    -3.8611 |   -8088.62 |    -895.25 |     -35.77 |
|                            Loden 28, Loden 28, Loden 28 |    10h03m12s |    -58d08m15s |   873 |      1041 |      -- |  386 |     3 |    3957.67 |   282.2064 |    -2.2044 |   -7464.29 |   -3865.33 |    -127.96 |
|                      ESO 092-05, ESO 092 05, ESO 092-05 |  10h03m13.5s |    -64d46m27s |   584 |      1042 |      -- |  106 |     3 |    7078.67 |   286.1970 |    -7.5192 |   -6345.44 |   -6739.25 |    -905.68 |
|                      ESO 435-33, ESO 435 33, ESO 435-33 |    10h03m54s |    -32d03m06s |   675 |      1043 |      -- |  959 |     3 |    1347.33 |   266.2633 |    18.6392 |   -8381.76 |   -1273.95 |     457.88 |
|                                                 DBSB 43 |    10h03m54s |    -59d17m42s |    -- |        -- |      -- |  330 |     1 |    1940.00 |   282.9699 |    -3.0799 |   -7865.52 |   -1887.78 |     -78.65 |
|                          BH 87, BH 87, vdBergh-Hagen 87 |    10h04m26s |    -55d25m18s |   323 |      1044 |      -- |  458 |     3 |     958.00 |   280.7271 |     0.0796 |   -8121.64 |    -941.26 |      27.75 |
|                      Schuster 1, Schuster 1, Schuster 1 | 10h04m36.75s | -55d51m04.25s |  1657 |      1045 |      -- |  452 |     3 |    2358.33 |   281.0019 |    -0.2514 |   -7849.93 |   -2314.97 |      15.18 |
|                   Trumpler 11, Trumpler 11, Trumpler 11 |    10h04m54s |    -61d36m00s |  1695 |      1046 |      -- |  214 |     3 |    3361.33 |   284.4422 |    -4.8606 |   -7465.57 |   -3243.41 |    -260.53 |
|                               Loden 1, Loden 1, Loden 1 | 10h05m08.25s | -55d48m08.75s |   840 |      1047 |      -- |  453 |     3 |     502.00 |   281.0326 |    -0.1685 |   -8203.90 |    -492.72 |      25.21 |
|                                                FSR 1459 |    10h05m35s |    -35d21m54s |    -- |        -- |      -- |  892 |     1 |    1759.00 |   268.7060 |    16.2577 |   -8336.49 |   -1688.23 |     519.57 |
|                                                FSR 1465 |    10h05m47s |    -36d54m36s |    -- |        -- |      -- |  854 |     1 |    1703.00 |   269.7207 |    15.0602 |   -8306.54 |   -1644.49 |     469.52 |
|                                          Hogg 5, Hogg 5 |    10h06m21s |    -60d23m00s |   761 |      1048 |      -- |   -- |     2 |    1311.00 |   283.8635 |    -3.7752 |   -7986.79 |   -1270.05 |     -60.34 |
|                          BH 88, BH 88, vdBergh-Hagen 88 |    10h06m23s |    -51d34m51s |   324 |      1050 |      -- |  553 |     3 |    2531.00 |   278.6933 |     3.3514 |   -7917.58 |   -2497.64 |     173.71 |
|                   Trumpler 12, Trumpler 12, Trumpler 12 |  10h06m30.5s |    -60d18m00s |  1696 |      1049 |      -- |  279 |     3 |     911.67 |   283.8303 |    -3.6963 |   -8082.67 |    -883.39 |     -32.48 |
|                                                FSR 1527 |    10h06m32s |    -57d24m48s |    -- |        -- |      -- |  410 |     1 |    3258.00 |   282.1361 |    -1.3577 |   -7615.46 |   -3184.29 |     -52.43 |
|                                  Hogg 6, Hogg 6, Hogg 6 |    10h06m36s |    -60d30m00s |   762 |      1051 |      -- |  267 |     3 |    1537.33 |   283.9573 |    -3.8514 |   -7930.33 |   -1488.58 |     -77.47 |
|                                                FSR 1449 |    10h07m04s |    -31d59m42s |    -- |        -- |      -- |  962 |     1 |    2154.00 |   266.7808 |    19.1017 |   -8411.97 |   -2032.19 |     732.25 |
|                                                FSR 1467 |    10h07m44s |    -36d29m36s |    -- |        -- |      -- |  864 |     1 |    1606.00 |   269.7801 |    15.6286 |   -8304.49 |   -1546.61 |     459.67 |
|                                      FSR 1535, FSR 1535 |    10h07m58s |  -59d11m45.5s |    -- |      1052 |      -- |  337 |     2 |    1602.00 |   283.3321 |    -2.6936 |   -7931.20 |   -1557.10 |     -49.49 |
|                               ASCC 56, ASCC 56, ASCC 56 |    10h08m16s |    -64d22m30s |   111 |      1053 |      -- |  121 |     3 |     799.00 |   286.3972 |    -6.8768 |   -8076.34 |    -760.99 |     -69.40 |
|                                               MWSC 5058 |    10h08m18s |     12d19m06s |    -- |        -- |      -- | 1801 |     1 |    1191.00 |   225.9406 |    49.0814 |   -8839.50 |    -560.59 |     928.73 |
|                                                FSR 1530 |    10h08m58s |    -57d17m06s |    -- |        -- |      -- |  412 |     1 |    4153.00 |   282.3280 |    -1.0621 |   -7413.67 |   -4056.54 |     -52.87 |
|                Ruprecht 161, Ruprecht 161, Ruprecht 161 | 10h08m58.25s |    -61d15m54s |  1545 |      1054 |      -- |  228 |     3 |     952.00 |   284.6401 |    -4.3037 |   -8060.25 |    -918.49 |     -45.22 |
|                      ESO 435-48, ESO 435 48, ESO 435-48 |  10h09m33.5s |    -28d21m30s |   676 |      1055 |      -- | 1077 |     3 |    1212.67 |   264.8153 |    22.2854 |   -8399.86 |   -1117.50 |     487.19 |
|                                               MWSC 5060 |    10h10m28s |    -14d02m42s |    -- |        -- |      -- | 1359 |     1 |    1445.00 |   254.3892 |    33.2554 |   -8622.55 |   -1163.79 |     820.45 |
|                               ASCC 57, ASCC 57, ASCC 57 |  10h10m51.5s |    -66d41m24s |   112 |      1056 |      -- |   80 |     3 |    1494.33 |   287.9792 |    -8.6013 |   -7844.62 |   -1405.38 |    -197.97 |
|                            Loden 27, Loden 27, Loden 27 |    10h11m04s |    -56d35m36s |   872 |      1057 |      -- |  432 |     3 |    1752.00 |   282.1634 |    -0.3318 |   -7930.85 |   -1712.64 |      15.65 |
|                       Bochum 8, BH 90, vdBergh-Hagen 90 |  10h12m06.5s |    -58d03m48s |   344 |      1058 |      -- |  389 |     3 |    2357.33 |   283.1193 |    -1.4575 |   -7765.26 |   -2295.06 |     -34.70 |
|                                               MWSC 5062 |    10h12m22s |     -9d10m54s |    -- |        -- |      -- | 1467 |     1 |    5232.00 |   250.6288 |    37.0534 |   -9674.67 |   -3939.15 |    3184.07 |
|                      ESO 436-02, ESO 436 02, ESO 436-02 |    10h14m00s |    -29d10m45s |   677 |      1059 |      -- | 1055 |     3 |    1173.33 |   266.1902 |    22.2401 |   -8370.67 |   -1083.64 |     471.32 |
|                      ESO 092-18, ESO 092 18, ESO 092-18 |  10h14m52.5s |    -64d36m03s |   585 |      1060 |      -- |  113 |     3 |    6920.67 |   287.1139 |    -6.6518 |   -6279.72 |   -6569.71 |    -781.24 |
|                               ASCC 58, ASCC 58, ASCC 58 |  10h15m04.5s |    -54d58m12s |   113 |      1061 |      -- |  467 |     3 |     588.00 |   281.7066 |     1.3247 |   -8180.64 |    -575.62 |      40.20 |
|                   Ruprecht 87, Ruprecht 87, Ruprecht 87 |  10h15m30.5s |    -50d42m48s |  1637 |      1062 |      -- |  578 |     3 |    3502.67 |   279.3671 |     4.8839 |   -7730.97 |   -3443.41 |     323.35 |
|                                      Alessi 4, Alessi 4 |  10h16m13.5s |    -34d21m18s |    14 |        -- |      -- |  914 |     2 |    1170.00 |   269.8982 |    18.3766 |   -8300.73 |   -1110.33 |     395.86 |
|                          BH 91, BH 91, vdBergh-Hagen 91 |    10h17m08s |    -58d41m51s |   325 |      1063 |      -- |  362 |     3 |     743.00 |   284.0209 |    -1.6111 |   -8120.09 |    -720.58 |       5.52 |
|                   Ruprecht 88, Ruprecht 88, Ruprecht 88 |  10h18m51.5s |    -63d08m06s |  1638 |      1064 |      -- |  149 |     3 |    1250.67 |   286.6562 |    -5.1912 |   -7943.32 |   -1193.28 |     -87.32 |
|                                                FSR 1531 |    10h18m59s |    -56d10m12s |    -- |        -- |      -- |  448 |     1 |    2710.00 |   282.8326 |     0.6336 |   -7698.00 |   -2642.15 |      55.01 |
|                          BH 92, BH 92, vdBergh-Hagen 92 |    10h19m07s |    -56d25m12s |   326 |      1065 |      -- |  439 |     3 |     843.67 |   282.9854 |     0.4348 |   -8110.37 |    -822.07 |      32.78 |
|                               ASCC 59, ASCC 59, ASCC 59 |  10h20m20.5s |    -57d39m45s |   114 |      1066 |      -- |  399 |     3 |     536.33 |   283.8046 |    -0.5141 |   -8172.00 |    -520.82 |      21.77 |
|                            NGC 3228, NGC 3228, NGC 3228 |  10h21m23.5s |    -51d43m45s |  1180 |      1067 |      -- |  550 |     3 |     553.67 |   280.7008 |     4.5467 |   -8197.33 |    -542.33 |      70.56 |
|                                  Teutsch 44, Teutsch 44 |  10h21m25.5s |    -54d26m52s |    -- |      1068 |      -- |  480 |     2 |    6643.50 |   282.1836 |     2.2663 |   -6898.14 |   -6488.79 |     285.14 |
|                      ESO 062-08, ESO 062 08, ESO 062-08 |  10h21m39.5s |    -69d20m30s |   579 |      1069 |      -- |   58 |     3 |    1322.00 |   290.3430 |   -10.2173 |   -7848.43 |   -1219.89 |    -208.97 |
|                                        SAI 113, SAI 113 |    10h22m43s |    -59d30m01s |    -- |      1070 |      -- |  320 |     2 |    2025.00 |   285.0604 |    -1.8913 |   -7774.29 |   -1954.38 |     -41.55 |
|                            Loden 46, Loden 46, Loden 46 | 10h23m07.75s |    -54d49m48s |   880 |      1071 |      -- |  468 |     3 |     754.67 |   282.5977 |     2.0775 |   -8135.38 |    -736.01 |      53.82 |
|                                                FSR 1572 |    10h23m40s |    -69d49m30s |    -- |        -- |      -- |   53 |     1 |    3494.00 |   290.7608 |   -10.5261 |   -7084.37 |   -3212.15 |    -615.26 |
|                   Trumpler 13, Trumpler 13, Trumpler 13 |    10h23m48s |    -60d08m00s |  1697 |      1072 |      -- |  287 |     3 |    1490.00 |   285.5153 |    -2.3525 |   -7901.93 |   -1434.49 |     -35.46 |
|                              Westerlund 2, Westerlund 2 |    10h24m02s |    -57d46m00s |  1754 |      1073 |      -- |   -- |     2 |    2362.00 |   284.2758 |    -0.3359 |   -7717.57 |   -2289.02 |      11.26 |
|                                                FSR 1568 |    10h24m47s |    -69d04m12s |    -- |        -- |      -- |   59 |     1 |    1871.00 |   290.4290 |    -9.8384 |   -7657.54 |   -1727.54 |    -294.79 |
|                  NGC 3247, Collinder 220, Collinder 220 | 10h25m51.75s |    -57d55m12s |  1182 |      1074 |      -- |  391 |     3 |    1519.67 |   284.5635 |    -0.3366 |   -7917.87 |   -1470.81 |      16.83 |
|                            NGC 3255, NGC 3255, NGC 3255 |    10h26m35s |    -60d40m45s |  1183 |      1075 |      -- |  262 |     3 |    2017.33 |   286.0968 |    -2.6328 |   -7741.53 |   -1936.20 |     -67.48 |
|                                      NGC 3231, NGC 3231 |  10h27m13.5s |     66d48m18s |  1181 |      1077 |      -- |   -- |     2 |     357.50 |   141.9411 |    44.6297 |   -8499.46 |     156.84 |     278.80 |
|                               IC 2581, IC 2581, IC 2581 |  10h27m32.5s |    -57d37m42s |   780 |      1076 |      -- |  401 |     3 |    2371.00 |   284.6007 |     0.0292 |   -7702.27 |   -2294.43 |      26.26 |
|                         Loden 172, Loden 172, Loden 172 |  10h28m08.5s |    -60d41m00s |   863 |      1079 |      -- |  259 |     3 |     943.33 |   286.2616 |    -2.5364 |   -8036.20 |    -904.71 |     -15.61 |
