|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                               King 16, King 16, King 16 |   0h43m48.5s |     64d10m58s |   817 |        51 |      -- | 2774 |     3 |    2055.00 |   122.1012 |     1.3233 |   -9391.56 |    1740.35 |      78.01 |
|                                                FSR 0507 |     0h44m02s |     52d21m36s |    -- |        -- |      -- | 2461 |     1 |    2203.00 |   121.7823 |   -10.4952 |   -9442.15 |    1841.34 |    -370.57 |
|                      Berkeley 4, Berkeley 4, Berkeley 4 |   0h45m02.5s |   64d22m59.5s |   214 |        52 |      -- | 2778 |     3 |    2740.00 |   122.2404 |     1.5200 |   -9760.91 |    2316.72 |     104.44 |
|                              NGC 0188, NGC 188, NGC 188 |     0h47m26s |     85d15m18s |   943 |        53 |      -- | 2854 |     3 |    1920.33 |   122.8424 |    22.3839 |   -9260.55 |    1491.83 |     761.41 |
|                                               MWSC 5533 |     0h48m23s |     41d36m00s |    -- |        -- |      -- | 2285 |     1 |    2853.00 |   122.3191 |   -21.2681 |   -9724.74 |    2246.82 |   -1003.25 |
|                   Berkeley 61, Berkeley 61, Berkeley 61 |   0h48m24.5s |     67d11m48s |   234 |        54 |      -- | 2803 |     3 |    3095.33 |   122.6376 |     4.3267 |   -9963.81 |    2599.15 |     265.94 |
|                      Dolidze 13, Dolidze 13, Dolidze 13 |   0h49m56.5s |  64d06m38.75s |   497 |        55 |      -- | 2771 |     3 |    1600.00 |   122.7686 |     1.2395 |   -9165.63 |    1345.07 |      64.43 |
|                                      FSR 0516, FSR 0516 |   0h50m39.5s |     65d58m00s |    -- |        56 |      -- | 2797 |     2 |     810.00 |   122.8524 |     3.0950 |   -8738.58 |     679.46 |      72.16 |
|                                                FSR 0515 |     0h50m44s |     54d45m54s |    -- |        -- |      -- | 2507 |     1 |    2362.00 |   122.8293 |    -8.1066 |   -9568.76 |    1964.93 |    -301.95 |
|                                  King 2, King 2, King 2 |     0h50m58s |     58d11m33s |   821 |        57 |      -- | 2567 |     3 |    5666.33 |   122.8696 |    -4.6792 |  -11366.47 |    4743.34 |    -425.26 |
|                                                NGC 0272 |     0h51m24s |     35d49m54s |   946 |        -- |      -- |   -- |     1 |        nan |   122.9233 |   -27.0401 |        nan |        nan |        nan |
|                                      FSR 0519, FSR 0519 |   0h52m29.5s |   64d39m32.5s |    -- |        58 |      -- | 2784 |     2 |    1483.50 |   123.0447 |     1.7875 |   -9108.35 |    1242.93 |      75.91 |
|                                        IC 1590, IC 1590 |   0h52m48.5s |     56d37m21s |   771 |        59 |      -- |   -- |     2 |    2940.00 |   123.1215 |    -6.2487 |   -9897.91 |    2447.66 |    -287.81 |
|                                      FSR 0521, FSR 0521 |   0h52m59.5s |     59d50m33s |    -- |        60 |      -- | 2611 |     2 |    2534.00 |   123.1273 |    -3.0287 |   -9683.28 |    2119.16 |    -102.38 |
|                                  ASCC 4, ASCC 4, ASCC 4 |  0h53m13.25s |     61d35m24s |    93 |        61 |      -- | 2689 |     3 |     683.33 |   123.1440 |    -1.2810 |   -8673.52 |     572.01 |      12.94 |
|                     Alessi 1, Casado Alessi 1, Alessi 1 |     0h53m23s |  49d31m26.75s |     0 |        62 |      -- | 2409 |     3 |     617.33 |   123.2564 |   -13.3464 |   -8629.81 |     502.29 |    -114.43 |
|                                      FSR 0522, FSR 0522 |     0h53m55s |     65d47m42s |    -- |        63 |      -- | 2793 |     2 |    1800.00 |   123.1863 |     2.9245 |   -9283.62 |    1504.45 |     122.04 |
|                                                NGC 0305 |     0h56m20s |     12d04m00s |   947 |        -- |      -- |   -- |     1 |        nan |   124.8252 |   -50.7871 |        nan |        nan |        nan |
|                                                FSR 0524 |     0h57m17s |     62d07m30s |    -- |        -- |      -- | 2712 |     1 |    1841.00 |   123.6152 |    -0.7390 |   -9319.14 |    1533.01 |       6.57 |
