#                
# https://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/623/A108/               
#                
Cluster RA_ICRS DE_ICRS logA e E Dist_mod e E AV e E AGTO e E Fe/H r
NGC2658 130.868 -32.662 8.701 8.71 8.689 12.871 12.888 12.855 0.706 0.72 0.692 0.689 0.703 0.675 -0.01 PHC
NGC2818 139.044 -36.624 8.962 8.963 8.955 12.491 12.515 12.475 0.603 0.621 0.588 0.589 0.606 0.574 -0.17 D02
NGC2972 145.058 -50.326 8.642 8.677 8.599 11.405 11.435 11.376 1.198 1.227 1.172 1.169 1.198 1.144 -0.09 PHC
NGC3228 155.378 -51.814 7.424 7.458 7.415 8.341 8.366 8.309 0.131 0.15 0.109 0.128 0.146 0.106 0.01 PHC
NGC4609 190.582 -62.995 7.523 7.536 7.508 10.876 10.901 10.86 1.069 1.089 1.047 1.043 1.063 1.022 0.05 D02
NGC5138 201.829 -59.023 7.638 7.644 7.631 11.495 11.518 11.472 0.755 0.776 0.738 0.737 0.757 0.72 0.12 PHC
NGC5281 206.614 -62.916 7.669 7.765 7.636 10.936 10.963 10.913 0.816 0.839 0.793 0.796 0.819 0.774 -0.02 PHC
NGC5316 208.516 -61.883 8.184 8.191 8.172 10.788 10.807 10.767 0.772 0.788 0.756 0.754 0.769 0.738 0.13 PHC
NGC5460 211.847 -48.285 8.11 8.239 8.02 9.25 9.275 9.226 0.328 0.35 0.307 0.32 0.342 0.3 0.03 PHC
NGC5617 217.452 -60.719 8.14 8.144 8.134 11.657 11.672 11.641 1.592 1.604 1.58 1.554 1.566 1.542 -0.18 D02
NGC6025 240.779 -60.43 8.096 8.106 8.069 9.468 9.487 9.451 0.406 0.423 0.388 0.396 0.413 0.379 0.19 D02
NGC6204 251.538 -47.027 7.576 7.597 7.557 10.503 10.53 10.478 1.291 1.315 1.264 1.26 1.284 1.234 0.02 PHC
NGC6208 252.336 -53.714 9.223 9.23 9.222 10.345 10.363 10.325 0.631 0.643 0.618 0.616 0.628 0.603 -0.01 PHC
NGC6716 283.616 -19.888 7.932 7.964 7.912 9.116 9.147 9.081 0.707 0.737 0.678 0.69 0.719 0.662 -0.31 D02
NGC6830 297.718 23.101 8.005 8.132 7.815 11.871 11.9 11.847 1.514 1.54 1.486 1.478 1.503 1.45 0.22 PHC
NGC6866 300.983 44.158 8.89 8.927 7.888 10.64 10.663 10.588 0.398 0.452 0.375 0.388 0.441 0.366 -0.013 D02
NGC6940 308.626 28.278 9.01 9.671 8.977 10.07 10.088 9.957 0.455 0.476 0.007 0.444 0.465 0.007 0.15 PHC
NGC7092 322.889 48.247 8.491 8.585 8.403 7.218 7.251 7.186 0.049 0.061 0.037 0.048 0.06 0.036 0 PHC
NGC7209 331.224 46.508 8.533 8.571 8.522 10.336 10.353 10.321 0.546 0.561 0.532 0.533 0.548 0.519 0.07 PHC
NGC7243 333.788 49.83 8.006 8.022 7.987 9.743 9.762 9.725 0.573 0.592 0.552 0.559 0.578 0.539 0.03 PHC
NGC7296 337 52.321 7.925 8.183 7.84 12.074 12.1 12.051 0.709 0.735 0.683 0.692 0.717 0.667 -0.02 PHC
Pismis4 128.79 -44.407 7.905 7.922 7.861 9.114 9.135 9.094 0.093 0.103 0.082 0.091 0.101 0.08 -0.2 D02
Ruprecht1 99.084 -14.157 8.502 8.642 8.465 10.787 10.813 10.765 0.697 0.719 0.674 0.68 0.702 0.658 -0.25 D02
Ruprecht93 166.037 -61.372 8.519 8.564 8.449 11.677 11.702 11.654 0.642 0.666 0.618 0.627 0.65 0.603 0.01 K13
Ruprecht115 243.215 -52.393 8.474 8.52 8.398 11.908 11.946 11.871 2.317 2.353 2.281 2.262 2.297 2.226 -0.102 PHC
Ruprecht151 115.315 -16.279 8.614 8.641 8.569 10.359 10.406 10.321 0.587 0.623 0.544 0.573 0.608 0.531 0.153 D02
Trumpler10 131.943 -42.566 7.74 7.751 7.721 7.816 7.844 7.797 0.138 0.152 0.119 0.135 0.148 0.116 -0.12 PHC
Trumpler22 217.783 -61.169 7.385 7.412 7.371 11.869 11.891 11.852 1.834 1.851 1.816 1.79 1.807 1.773 -0.17 D02
ASCC6 26.846 57.722 7.677 7.695 7.658 11.101 11.123 11.079 0.872 0.893 0.853 0.851 0.872 0.833 0 NC
ASCC10 51.87 34.981 8.599 8.637 8.495 8.913 8.95 8.879 0.443 0.477 0.411 0.432 0.466 0.401 0 NC
ASCC13 78.255 44.417 7.647 7.664 7.627 10.151 10.181 10.121 0.678 0.701 0.652 0.662 0.684 0.636 0 NC
ASCC16 81.198 1.655 7.047 7.085 7.045 7.51 7.534 7.45 0.093 0.108 0.078 0.091 0.105 0.076 0 NC
ASCC19 81.982 -1.987 7.086 7.087 7.085 7.478 7.513 7.45 0.056 0.066 0.045 0.055 0.064 0.044 0 NC
ASCC21 82.179 3.527 7.032 7.063 6.96 7.425 7.507 7.367 0.118 0.141 0.096 0.115 0.138 0.094 0 NC
ASCC22 93.656 0.637 8.557 8.618 8.494 9.546 9.582 9.508 0.549 0.585 0.516 0.536 0.571 0.504 0 NC
ASCC23 95.047 46.71 8.48 8.515 8.44 8.854 8.881 8.829 0.283 0.305 0.26 0.276 0.298 0.254 0 NC
ASCC29 103.571 -1.67 7.95 7.985 7.907 10.05 10.083 10.017 0.239 0.266 0.211 0.233 0.26 0.206 0 NC
ASCC32 105.714 -26.512 7.404 7.404 7.403 9.322 9.342 9.29 0.218 0.233 0.198 0.213 0.227 0.193 0 NC
ASCC41 116.674 0.137 8.04 8.083 7.993 7.226 7.272 7.184 0.072 0.091 0.053 0.07 0.089 0.052 0 NC
ASCC58 153.657 -55.001 7.826 7.887 7.745 8.328 8.362 8.295 0.309 0.341 0.282 0.302 0.333 0.275 0 NC
ASCC71 185.033 -67.509 8.051 8.059 8.038 10.546 10.57 10.522 0.727 0.749 0.704 0.71 0.731 0.687 0 NC
ASCC101 288.399 36.369 8.694 8.757 8.596 7.878 7.913 7.844 0.053 0.078 0.03 0.052 0.076 0.029 0 NC
ASCC105 295.548 27.366 7.994 8.013 7.966 8.568 8.595 8.541 0.34 0.363 0.317 0.332 0.354 0.309 0 NC
ASCC108 298.306 39.349 7.911 7.926 7.903 10.149 10.168 10.133 0.341 0.355 0.327 0.333 0.347 0.319 0 NC
