GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
18.59,-1.58,18 30 35,-13 28 11,1.7,1.7,Ryu 776,OC   ,     ,                                ,REF805                                         ,909
18.65,1.62,18 19 07,-11 55 32,0.9,0.9,Ryu 778,OC   ,     ,                                ,REF805                                         ,912
18.79,0.58,18 23 08,-12 17 09,1.2,1.2,Ryu 780,OC   ,     ,                                ,REF805                                         ,916
18.82,2.46,18 16 25,-11 22 15,1.6,1.6,Ryu 781,OC   ,     ,                                ,REF805                                         ,919
18.85,-2.01,18 32 38,-13 26 30,1,1,Ryu 232,OC   ,     ,                                ,REF805                                         ,920
18.86,0.5,18 23 32,-12 15 46,1,1,Ryu 782,OC   ,     ,                                ,REF805                                         ,922
18.87,-3.38,18 47 31,-14 01 56,180,180,UBC 32,OC   ,     ,                                ,REF8003                                        ,923
18.89,-1.5,18 30 54,-13 09 55,7.5,6,NGC 6639,OC   ,     ,                                ,"REF239,REF985                                  ",925
18.94,-2.68,18 35 16,-13 39 54,1.8,1.8,Ryu 785,OC   ,     ,                                ,REF805                                         ,929
18.95,-3.28,18 37 29,-13 55 51,0.7,0.7,Ryu 233,OC   ,     ,                                ,REF805                                         ,930
19.05,2.29,18 17 28,-11 15 05,0.9,0.9,Ryu 787,OC   ,     ,                                ,REF805                                         ,934
19.09,-2.48,18 34 49,-13 26 34,1.2,1.2,Ryu 789,OC   ,     ,                                ,REF805                                         ,937
19.16,-3.17,18 37 29,-13 41 33,1.4,1.4,Ryu 790,OC   ,     ,                                ,REF805                                         ,938
19.3,0.56,18 24 10,-11 50 36,0.8,0.8,Ryu 792,OC   ,     ,                                ,REF805                                         ,940
19.3,-2.72,18 36 06,-13 21 50,1.7,1.7,Ryu 791,OC   ,     ,                                ,REF805                                         ,941
19.31,-1.55,18 31 51,-12 48 56,1,1,Ryu 793,OC   ,     ,                                ,REF805                                         ,942
19.4,-1.62,18 32 16,-12 46 17,0.9,0.9,Ryu 234,OC   ,     ,                                ,REF805                                         ,944
19.47,-0.16,18 27 08,-12 01 45,6,6,NGC 6631,OC   ,     ,                                ,REF239                                         ,945
19.5,4.85,18 09 10,-09 38 34,1.3,1.3,Ryu 235,OC   ,     ,                                ,REF805                                         ,946
19.51,-2.07,18 34 07,-12 52 53,1.4,1.4,Ryu 794,OC   ,     ,                                ,REF805                                         ,947
19.57,-2.28,18 34 59,-12 55 07,1.1,1.1,Ryu 14,OC   ,     ,                                ,REF805                                         ,948
19.59,2.62,18 17 18,-10 37 24,2.1,2.1,Ryu 236,OC   ,     ,                                ,REF805                                         ,949
19.6,-1.02,18 30 30,-12 18 59,6,6,Dias 6,OC   ,     ,                                ,"REF297,REF298,REF625                           ",950
19.72,-1.21,18 31 23,-12 17 50,7,5.5,Ruprecht 141,OC   ,     ,                                ,"REF239,REF791                                  ",957
19.74,-0.56,18 29 04,-11 58 31,11,11,FSR 59,OC   ,     ,dust artifact?                  ,"REF507,REF3033                                 ",958
19.76,-0.29,18 28 07,-11 50 12,0.9,0.9,Ryu 797,OC   ,     ,                                ,REF805                                         ,959
19.88,-3.22,18 39 00,-13 04 40,1,1,Ryu 237,OC   ,     ,                                ,REF805                                         ,962
19.99,-3.04,18 38 34,-12 53 58,0.9,0.9,Ryu 798,OC   ,     ,                                ,REF805                                         ,963
20.01,-1.41,18 32 41,-12 08 12,7.5,4.5,Ruprecht 143,OC   ,     ,                                ,REF239                                         ,965
20.04,-0.68,18 30 03,-11 46 15,1.3,1.3,Ryu 799,OC   ,     ,                                ,REF805                                         ,966
20.13,-4.3,18 43 25,-13 20 51,1.1,1.1,Ryu 238,OC   ,     ,                                ,REF805                                         ,968
20.14,5.38,18 08 31,-08 49 32,1.8,1.8,Ryu 800,OC   ,     ,                                ,REF805                                         ,969
20.15,4.64,18 11 11,-09 10 01,1.3,1.3,Ryu 801,OC   ,     ,                                ,REF805                                         ,970
20.23,2.58,18 18 42,-10 04 35,1.4,1.4,Ryu 802,OC   ,     ,                                ,REF805                                         ,971
20.23,-2.41,18 36 42,-12 24 05,1,1,Ryu 239,OC   ,     ,                                ,REF805                                         ,972
20.27,-0.44,18 29 39,-11 27 32,0.7,0.7,Ryu 240,OC   ,     ,                                ,REF805                                         ,973
