

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|         1108|Ruprecht 11      |          |              |07 07 22|-20 47.7|233.264| -5.975|      0.010|         0.050|         0.100|   0.36|  -1.12|        0.62|        |             |                 |             1|               15|               44|    1958|  0.437|          11.600|  0.210|  0.140|  0.000|  8.800|             |                 |            0.32|                  0.18|             8.03|                   4.90|            6.15|                  4.09|DIAS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2827|2MS-GC02         |g         |o             |18 09 31|-20 47.4|  9.763| -0.603|      0.018|         0.055|         0.105|   1.58|  -4.41|        0.82| -238.00|        36.00|                 |             4|               16|               36|    7436|  1.999|          15.000|  0.960|  0.640| -0.050| 10.000|             |                 |            4.32|                  2.22|            29.89|                  16.01|            0.07|                  0.02|HARR          |glo         |     -1.080|                 |                   16|2MASS-GC02, [HJK2000]_GC02; center is shifted to 18.1587h,-20.790d; PMs are poor/absent due to crowding; reddening and distance havebeen strongly changed compared to Harris.                                                                            |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|          978|NGC 2287         |          |              |06 46 03|-20 44.7|231.012|-10.433|      0.040|         0.200|         0.440|  -3.33|  -0.75|        0.20|   24.47|         1.20|                9|            10|              114|              302|     769|  0.062|           9.450|  0.030|  0.020|  0.008|  8.250|             |                 |            1.84|                  0.44|             7.55|                   1.55|           12.95|                  1.99|COCD          |            |      0.040|            0.020|                    4|M_41; PMs in center are poor/absent due to crowding.                                                                                                                                                                                                     |                                  OPEN STAR CLUSTER|
|         1277|NGC 2421         |          |              |07 36 14|-20 36.6|236.272|  0.075|      0.012|         0.085|         0.160|  -2.92|   4.81|        0.30|        |             |                 |             4|               61|              170|    2178|  0.458|          11.838|  0.220|  0.147|  0.000|  7.450|             |                 |            1.37|                  0.21|            11.39|                   1.89|           10.19|                  1.00|COCD          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1060|Tombaugh 1       |          |              |07 00 30|-20 33.9|232.334| -7.310|      0.025|         0.100|         0.200|  -0.99|   3.97|        0.24|        |             |                 |            16|               84|              188|    2642|  0.281|          12.200|  0.135|  0.090| -0.030|  9.065|        0.020|               26|            2.63|                  0.35|            14.66|                   1.90|            7.57|                  0.51|DIAS          |            |           |                 |                    0|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         1281|Czernik 31       |          |              |07 37 02|-20 31.5|236.289|  0.279|      0.010|         0.055|         0.110|  -2.17|   4.33|        0.64|        |             |                 |             1|               13|               43|    2057|  0.104|          11.600|  0.050|  0.033|  0.000|  8.250|             |                 |            1.04|                  0.26|             8.23|                   2.17|            6.48|                  0.99|DIAS          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         1265|Ruprecht 40      |          |              |07 33 28|-20 30.6|235.868| -0.445|      0.015|         0.040|         0.075|  -2.87|   1.66|        0.80|        |             |                 |             3|                9|               22|    1836|  0.250|          11.400|  0.120|  0.080|  0.000|  8.265|             |                1|            0.69|                  0.44|             4.51|                   2.86|            2.04|                  0.85|DIAS          |non         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2349|Dolidze 50       |r         |o             |16 05 37|-20 29.1|352.686| 23.103|      0.012|         0.078|         0.125|  -2.18|  -3.00|        0.65|        |             |                 |             2|               16|               29|    1546|  0.479|          11.100|  0.230|  0.153|  0.000|  9.400|             |                 |            0.66|                  0.35|             5.78|                   3.27|            3.95|                  1.40|DREM          |ast         |           |                 |                    0|Dias: asterism; NKh: old cluster; it is seen through rho Oph DarkCloud; center is shifted to 16.0935h,-20.485d.                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         1330|Ruprecht 34      |          |              |07 45 57|-20 23.1|237.200|  2.162|      0.020|         0.080|         0.125|  -4.87|   0.60|        0.69|        |             |                 |             3|               13|               30|     893|  0.146|           9.801|  0.070|  0.047| -0.020|  9.100|             |                 |            0.28|                  0.13|             4.13|                   2.20|           16.64|                  7.71|COCD          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2701|NGC 6440         |g         |o             |17 48 53|-20 21.6|  7.729|  3.802|      0.040|         0.085|         0.150|  -3.55|  -3.38|        0.28|  -76.60|         2.70|                 |            27|              130|              364|    8492|  1.072|          14.990|  0.515|  0.344|  0.000| 10.050|             |                 |            2.90|                  0.22|            37.10|                   3.01|            4.96|                  0.38|HARR          |glo         |     -0.360|                 |                  130|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         2853|Sgr OB7          |a         |o             |18 14 53|-20 19.2| 10.777| -1.477|      0.030|         0.230|         0.480|   2.66|  -2.10|        0.24|   -7.19|         3.14|                9|             5|              144|              592|    1481|  0.458|          11.000|  0.220|  0.147| -0.050|  6.450|             |                 |                |                      |                 |                       |                |                      |COCD          |ass         |      0.030|            0.100|                    5|Center is shifted to 18.2480h,-20.320d; parameters have been changed compared to COCD.                                                                                                                                                                   |                          OB ASSOCIATION/HII REGION|
|         1231|IRAS 07255-2012  |          |              |07 27 39|-20 18.4|235.035| -1.542|      0.010|         0.060|         0.090|  -2.82|   3.54|        0.47|        |             |                 |             1|               28|               67|    8570|  1.041|          15.000|  0.500|  0.333| -0.050|  6.000|             |                 |            5.16|                  1.05|            28.20|                   5.33|            0.36|                  0.05|BIEM          |irc         |           |                 |                    0|SIMBAD: Infra-Red source; sparse.                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         1187|FSR 1258         |          |              |07 21 16|-20 13.2|234.252| -2.820|      0.012|         0.085|         0.142|  -4.58|   3.33|        0.38|        |             |                 |             2|               35|               94|    2928|  0.521|          12.500|  0.250|  0.167|  0.000|  9.100|             |                 |            1.10|                  0.44|            14.17|                   6.34|            1.72|                  0.60|FPRO          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         3011|Collinder 394    |          |              |18 52 19|-20 12.0| 14.892| -9.246|      0.040|         0.165|         0.300|  -3.00|  -6.35|        0.35|   -1.85|         6.45|                2|             5|               72|              233|     668|  0.239|           9.201|  0.115|  0.077|  0.000|  7.860|             |                 |            2.95|                  1.68|             5.43|                   1.57|            5.13|                  5.38|COCD          |            |           |                 |                    0|Nearby; sparse.                                                                                                                                                                                                                                          |                                  OPEN STAR CLUSTER|
|         1356|Ruprecht 38      |          |              |07 50 29|-20 11.1|237.564|  3.182|      0.020|         0.080|         0.120|  -6.41|   3.96|        0.35|        |             |                 |             5|               42|               64|    2928|  0.521|          12.500|  0.250|  0.167|  0.000|  8.730|        0.028|                4|            0.85|                  0.29|            10.41|                   3.55|            2.67|                  0.94|DIAS          |dub         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2797|FSR 0035         |          |              |18 04 17|-20 10.7|  9.700|  0.765|      0.012|         0.050|         0.085|   2.79|  -3.79|        0.52|        |             |                 |             4|               19|               48|    2525|  1.208|          12.400|  0.580|  0.387|  0.000|  6.600|             |                 |            1.46|                  0.36|             5.78|                   1.17|            5.79|                  1.09|DIAS          |irc         |           |                 |                    0|Sparse; strong and variable reddening; poor RDP; looks like as hole in clouds.                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|          716|FSR 1205         |          |              |06 04 10|-20 09.5|226.341|-19.162|      0.020|         0.130|         0.205|   2.04|   2.15|        0.50|        |             |                 |             2|               22|               45|    1893|  0.354|          11.500|  0.170|  0.113|  0.000|  9.100|             |                 |            1.58|                  0.59|             9.46|                   3.39|            1.62|                  0.39|FPOS          |            |           |                 |                    0|Very sparse; poor RDP.                                                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         4267|MWSC 4267        |          |              |16 29 26|-20 08.4|356.945| 19.162|      0.022|         0.100|         0.165|  -3.23|  -0.81|        0.55|        |             |                 |             4|               20|               37|    4001|  1.520|          13.500|  0.730|  0.487|  0.050|  8.250|             |                 |            4.01|                  3.82|            19.58|                  14.66|            0.02|                  0.02|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1098|Ruprecht 10      |          |              |07 06 28|-20 05.7|232.540| -5.849|      0.010|         0.060|         0.125|  -0.24|   3.99|        0.49|        |             |                 |             1|               25|               90|    2345|  0.625|          12.052|  0.300|  0.200|  0.000|  8.800|        0.044|                4|            1.22|                  0.50|            11.15|                   4.93|            1.73|                  0.45|DIAS          |            |           |                 |                    0|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         2822|BDSB 113         |          |              |18 09 02|-20 04.8| 10.328| -0.158|      0.010|         0.065|         0.110|   1.43|  -2.53|        0.39|    1.70|             |                 |             1|               33|               84|    4644|  1.291|          13.750|  0.620|  0.414|  0.000|  6.000|             |                 |            4.19|                  1.05|            16.72|                   3.55|            0.92|                  0.17|BIRN          |irc         |           |                 |                    0|In SuperNova Remnant G010.2-00.3.                                                                                                                                                                                                                        |                                  OPEN STAR CLUSTER|
|         2809|FSR 0039         |          |              |18 07 03|-19 54.6| 10.251|  0.331|      0.012|         0.075|         0.140|   0.62|  -1.18|        0.55|        |             |                 |             1|               22|               63|    2940|  0.802|          12.600|  0.385|  0.257| -0.050|  6.000|             |                 |            5.65|                  0.90|            14.44|                   1.48|            1.47|                  0.28|DIAS          |irc         |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         3020|NGC 6716         |          |              |18 54 34|-19 53.1| 15.411| -9.586|      0.020|         0.120|         0.180|  -2.22|  -4.85|        0.43|    6.00|         7.40|                1|             2|               47|               74|     669|  0.229|           9.201|  0.110|  0.073| -0.030|  7.385|             |                1|            0.36|                  0.21|             3.46|                   2.19|           13.29|                  4.99|COCD          |            |     -0.310|                 |                    0|Center is shifted to 18.9095h,-19.885d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2870|BDSB 5           |n         |o             |18 17 04|-19 52.2| 11.418| -1.716|      0.010|         0.060|         0.100|   1.97|  -5.05|        0.74|        |             |                 |             1|               11|               27|    6343|  1.208|          14.400|  0.580|  0.387|  0.000|  6.000|             |                 |            4.56|                  0.93|            18.69|                   3.17|            0.61|                  0.10|BOPN          |irc         |           |                 |                    0|In HII region RCW_153; strongly and variable reddening; deformed RDP; stars/PMs are poor/absent due to crowding.                                                                                                                                         |                                             NEBULA|
|         2974|Palomar 8        |g         |o             |18 41 30|-19 49.8| 14.101| -6.798|      0.020|         0.085|         0.170|   6.00|  -2.81|        0.48|  -43.00|        15.00|                 |             4|               45|              178|   12801|  0.323|          15.640|  0.155|  0.103|  0.000|  9.900|             |                 |           10.79|                  3.24|            60.07|                  17.16|            0.05|                  0.01|HARR          |glo         |     -0.370|                 |                   45|ESO 591-12; center is shifted to 18.6916h,-19.830d; PMs in center are poor/absent due to crowding.                                                                                                                                                       |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         1267|FSR 1264         |          |              |07 33 45|-19 48.7|235.290| -0.048|      0.020|         0.060|         0.105|  -2.67|   5.93|        0.52|        |             |                 |             3|               19|               59|    1215|  0.208|          10.490|  0.100|  0.067|  0.000|  8.615|             |                1|            0.56|                  0.21|             4.31|                   1.66|            8.15|                  2.12|FPRO          |            |           |                 |                    0|Very sparse; poor RDP.                                                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1270|Teutsch 61       |          |              |07 34 39|-19 48.0|235.383|  0.143|      0.015|         0.060|         0.110|  -2.40|   4.89|        0.45|        |             |                 |             7|               30|               90|    1998|  0.521|          11.670|  0.250|  0.167|  0.000|  8.215|        0.042|                3|            1.08|                  0.20|             6.61|                   1.23|           11.52|                  1.36|DIAS          |            |           |                 |                    0|Center is shifted to 7.5775h,-19.800d.                                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1276|FSR 1268         |          |              |07 35 44|-19 46.7|235.488|  0.376|      0.015|         0.065|         0.100|  -2.54|   5.02|        0.54|   25.00|         2.94|                2|             2|               19|               32|     974|  0.021|           9.949|  0.010|  0.007|  0.000|  8.620|             |                1|            0.66|                  0.16|             3.41|                   0.77|           20.56|                  3.06|FPRO          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1087|Auner 1          |          |              |07 04 15|-19 44.6|231.989| -6.158|      0.015|         0.060|         0.145|   0.97|   4.01|        0.61|        |             |                 |             4|               25|               88|    7154|  0.396|          14.400|  0.190|  0.127|  0.000|  9.350|             |                 |            3.24|                  1.07|            33.40|                  12.10|            0.39|                  0.09|DIAS          |emb         |     -0.500|                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2910|Trumpler 33      |          |              |18 24 41|-19 43.2| 12.393| -3.228|      0.010|         0.060|         0.110|  -3.00|  -1.85|        0.71|   -3.80|         0.40|                3|             1|               16|               46|    1282|  0.500|          10.700|  0.240|  0.160|  0.000|  7.840|             |                 |            1.36|                  0.39|             4.31|                   0.94|           10.12|                  2.79|COCD          |            |     -1.544|            0.190|                    1|Stars/PMs are poor/absent due to crowding; RDP is deformed; reddening and distance have been changed compared to COCD.                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1503|Ruprecht 62      |          |              |08 32 37|-19 41.0|242.511| 11.797|      0.010|         0.065|         0.120|  -0.93|   2.29|        0.70|        |             |                 |             1|               16|               38|    2160|  0.396|          11.800|  0.190|  0.127|  0.040|  8.735|        0.046|                4|            0.65|                  0.29|             9.95|                   5.02|            3.03|                  1.32|DIAS          |dub         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1235|FSR 1260         |          |              |07 28 26|-19 40.8|234.574| -1.080|      0.018|         0.065|         0.140|  -3.43|   6.60|        0.42|        |             |                 |             6|               33|              102|    1409|  0.250|          10.825|  0.120|  0.080| -0.040|  8.300|             |                 |            0.68|                  0.26|             4.56|                   1.77|            7.89|                  2.01|FPRO          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2876|Dias 5           |          |              |18 17 38|-19 39.6| 11.667| -1.734|      0.010|         0.095|         0.135|   2.11|  -4.09|        0.62|   -5.25|         2.25|                2|             1|               24|               35|    1289|  1.083|          10.900|  0.520|  0.347|  0.000|  8.100|             |                 |            1.95|                  0.21|             5.08|                   0.37|           38.58|                  5.15|COCD          |            |           |                 |                    0|Sparse; parameters have been changed compared to COCD.                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1183|FSR 1255         |          |              |07 20 51|-19 37.9|233.686| -2.632|      0.010|         0.090|         0.135|  -2.59|   4.81|        0.50|        |             |                 |             1|               31|               66|    1023|  0.000|          10.049|  0.000|  0.000|  0.000|  8.495|             |                1|            0.34|                  0.12|             5.04|                   1.92|           22.00|                  7.13|DIAS          |irc         |           |                 |                    0|Sparse; PMs in center are poor/absent due to crowding.                                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         1175|Ruprecht 15      |          |              |07 19 32|-19 37.8|233.539| -2.906|      0.010|         0.070|         0.135|  -0.21|   6.12|        0.50|        |             |                 |             3|               28|               98|    2362|  0.416|          12.000|  0.200|  0.133|  0.000|  8.750|             |                 |            0.79|                  0.24|            10.64|                   3.62|            4.85|                  1.40|DIAS          |dub         |           |                 |                    0|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         2580|NGC 6342         |g         |o             |17 21 10|-19 35.2|  4.899|  9.725|      0.025|         0.110|         0.205|   0.82|  -0.78|        0.27|  115.70|         1.40|                 |             6|              104|              306|    8502|  0.458|          14.795|  0.220|  0.147| -0.020| 10.000|             |                 |           16.14|                  2.65|            52.91|                   6.67|            0.20|                  0.03|HARR          |glo         |     -0.550|                 |                  104|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         2664|FSR 0025         |g         |c             |17 41 43|-19 34.3|  7.534|  5.649|      0.010|         0.050|         0.080|   2.69|  -3.89|        0.51|        |             |                 |             1|               42|               92|    7074|  1.093|          14.600|  0.525|  0.350| -0.040| 10.100|             |                 |            4.27|                  0.75|            20.14|                   3.12|            0.80|                  0.10|FPOS          |            |     -1.040|                 |                   42|Newly classified globular cluster; PMs in center are poor/absent due to crowding.                                                                                                                                                                        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|         1198|Ruprecht 16      |          |              |07 23 10|-19 28.4|233.801| -2.077|      0.018|         0.045|         0.100|  -0.06|   4.90|        0.93|        |             |                 |             5|               10|               47|    1701|  0.271|          11.241|  0.130|  0.087|  0.000|  8.650|             |                 |            0.71|                  0.26|             4.60|                   1.65|            6.58|                  1.63|DIAS          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         1418|Ruprecht 46      |          |              |08 02 11|-19 27.9|238.367|  5.912|      0.015|         0.060|         0.095|  -6.78|   1.83|        0.65|        |             |                 |             2|               10|               14|    1467|  0.521|          11.000|  0.250|  0.167|  0.000|  8.150|             |                 |            0.52|                  0.24|             4.39|                   1.98|            4.95|                  1.95|DREM          |ast         |           |                 |                    0|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         5231|MWSC 5231        |          |              |14 08 31|-19 27.9|326.825| 39.804|      0.020|         0.100|         0.160| -10.44|  -5.43|        0.67|        |             |                 |             1|                9|               11|    1935|  0.208|          11.500|  0.100|  0.067|  0.000|  9.315|             |                1|            0.51|                  0.36|             9.94|                   8.11|            2.33|                  1.78|ARIn          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2527|ESO 587-04       |          |              |17 04 21|-19 27.0|  2.729| 13.072|      0.010|         0.065|         0.115|   3.78|  -5.52|        0.47|        |             |                 |             1|               28|               79|    5271|  0.437|          13.750|  0.210|  0.140| -0.040|  9.175|             |                 |            2.86|                  0.96|            25.15|                   9.02|            0.43|                  0.09|DIAS          |dub         |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         4312|MWSC 4312        |          |              |17 06 31|-19 26.7|  3.035| 12.659|      0.030|         0.140|         0.220|   2.31|  -3.87|        0.34|        |             |                 |             7|               65|              133|    1384|  1.072|          11.050|  0.515|  0.344|  0.060|  8.200|             |                 |            0.82|                  0.32|             8.29|                   3.57|            5.52|                  1.51|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1255|DBSB 9           |          |              |07 31 46|-19 22.5|234.682| -0.245|      0.010|         0.055|         0.085|  -9.33|   7.91|        0.76|        |             |                 |             2|               12|               17|    4389|  0.895|          13.500|  0.430|  0.287|  0.000|  6.000|             |                 |            3.26|                  0.54|            10.56|                   1.34|            3.49|                  0.55|BOPN          |irc         |           |                 |                    0|PMs in center are poor/absent due to crowding; overlaps with Bochum_6.                                                                                                                                                                                   |                                  OPEN STAR CLUSTER|
|         2963|ASCC 97          |          |              |18 36 54|-19 13.2| 14.161| -5.557|      0.030|         0.150|         0.340|  -0.70|  -5.94|        0.32|        |             |                 |             5|              110|              513|     591|  0.437|           8.999|  0.210|  0.140|  0.000|  7.880|             |                 |            1.52|                  0.76|             4.96|                   1.92|            5.42|                  2.53|COCD          |            |      0.129|            0.080|                    2|Alessi_40; nearby; sparse.                                                                                                                                                                                                                               |                                  OPEN STAR CLUSTER|
|         4265|MWSC 4265        |          |              |16 29 04|-19 09.3|357.690| 19.858|      0.025|         0.170|         0.285|   0.18|  -1.45|        0.36|        |             |                 |             4|               55|              101|    2153|  1.041|          12.000|  0.500|  0.333|  0.040|  8.600|             |                 |            1.98|                  0.91|            16.28|                   7.97|            0.89|                  0.23|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1496|Ruprecht 157     |          |              |08 29 49|-19 07.2|241.657| 11.574|      0.025|         0.085|         0.160|  -2.34|   4.27|        0.52|        |             |                 |             4|               25|               73|    2311|  0.562|          12.000|  0.270|  0.180|  0.000|  8.700|             |                 |            1.18|                  0.50|            13.23|                   6.22|            1.71|                  0.54|DIAS          |            |           |                 |                    0|Sparse.                                                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2875|Turner 3         |          |              |18 17 17|-19 07.2| 12.102| -1.403|      0.010|         0.060|         0.115|   2.40|  -1.43|        0.60|  -15.70|             |                1|             2|               20|               50|    1392|  0.874|          11.000|  0.420|  0.280|  0.000|  7.460|             |                 |            1.46|                  0.33|             3.88|                   0.60|           23.09|                  6.30|DIAS          |            |           |                 |                    0|C 1814-191b; part of Sgr_OB4; disorder with coordinates: Dec. diffes by 1/4 deg in diferent sources; center is shifted to 18.2880h,-19.120d (to coordinates of SIMBAD and AH).                                                                           |                                  OPEN STAR CLUSTER|
|         2940|IC 4725          |          |              |18 31 43|-19 06.6| 13.700| -4.415|      0.035|         0.235|         0.380|  -2.20|  -6.09|        0.18|   -1.81|        10.46|                7|             8|              320|              771|     561|  0.479|           8.899|  0.230|  0.153|  0.000|  7.970|             |                 |            2.93|                  0.54|             5.34|                   0.49|           60.64|                 20.60|COCD          |            |     -0.257|            0.140|                    2|M_25; nearby; sparse.                                                                                                                                                                                                                                    |                                  OPEN STAR CLUSTER|
|         1243|DBSB 6           |          |              |07 29 58|-19 06.0|234.237| -0.486|      0.010|         0.055|         0.110|  -1.60|   6.71|        0.41|        |             |                 |             2|               35|              121|    4152|  1.270|          13.500|  0.610|  0.407|  0.025|  6.550|             |                 |            2.04|                  0.53|            17.36|                   4.79|            1.11|                  0.21|BOPN          |irc         |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1310|NGC 2432         |          |              |07 40 54|-19 05.1|235.481|  1.778|      0.020|         0.090|         0.160|  -2.65|   3.62|        0.75|   14.40|         1.80|                1|             5|               64|              148|    1589|  0.291|          11.099|  0.140|  0.093|  0.000|  8.650|             |                 |            1.51|                  0.20|             8.06|                   0.99|           13.68|                  1.11|COCD          |            |           |                 |                    0|Center is shifted to 7.6817h,-19.085d; parameters have been strongly changed compared to COCD; PMs in center are poor/absent due to crowding.                                                                                                            |                                  OPEN STAR CLUSTER|
|         2872|Turner 2         |          |              |18 16 55|-19 03.9| 12.110| -1.302|      0.020|         0.100|         0.165|   2.80|   1.10|        0.60|  -15.70|             |                1|             2|               24|               69|    1290|  0.458|          10.700|  0.220|  0.147|  0.000|  7.900|             |                 |            2.37|                  0.51|             6.91|                   1.02|            3.47|                  0.76|DIAS          |            |           |                 |                    0|C 1814-191a; Classical Cepheid WZ_Sgr cluster; disorder with coordinates: Dec. diffes by 1/4 deg in diferent sources; center is shifted to 18.2820h, -19.065d (near to WZ_Sgr).                                                                          |                                  OPEN STAR CLUSTER|
|         1410|NGC 2509         |          |              |08 00 47|-19 03.0|237.836|  5.845|      0.018|         0.080|         0.185|  -3.82|   4.24|        0.35|        |             |                 |             5|               49|              176|    1711|  0.104|          11.200|  0.050|  0.033| -0.020|  9.200|             |                 |            0.70|                  0.14|             9.86|                   2.25|           20.88|                  3.75|DIAS          |            |           |                 |                    0|PMs in center are poor/absent due to crowding.                                                                                                                                                                                                           |                                  OPEN STAR CLUSTER|
|         2857|Markarian 38     |          |              |18 15 29|-19 00.9| 11.992| -0.979|      0.020|         0.085|         0.180|  -0.02|  -2.21|        0.68|   -3.20|         9.20|                2|             1|               22|               91|    2318|  0.541|          12.000|  0.260|  0.173|  0.006|  6.900|             |                 |            3.40|                  0.91|             9.93|                   1.86|            1.61|                  0.45|COCD          |            |      0.180|            0.095|                    2|Center is shifted to 18.2580h,-19.015d.                                                                                                                                                                                                                  |                                  OPEN STAR CLUSTER|
|         2757|NGC 6494         |          |              |17 56 55|-19 00.0|  9.862|  2.859|      0.035|         0.280|         0.550|   1.93|  -1.40|        0.16|   -8.60|         0.40|                 |             5|              185|              578|     648|  0.437|           9.199|  0.210|  0.140|  0.000|  8.515|        0.027|               14|            1.11|                  0.12|            19.84|                   5.18|           37.07|                  2.74|COCD          |            |      0.090|            0.110|                    4|M_23; center is shifted to 17.9485h,-19.000d.                                                                                                                                                                                                            |                                  OPEN STAR CLUSTER|
