

Results from heasarc_mwsc: Milky Way Star Clusters Catalog
Coordinate system:  Equatorial
|source_number|name             |broad_type|cluster_status|ra      |dec     |lii    |bii    |core_radius|central_radius|cluster_radius|pm_ra  |pm_dec |pm_tot_error|rad_vel |rad_vel_error|num_rad_vel_stars|num_core_stars|num_central_stars|num_cluster_stars|distance|e_bv   |distance_modulus|e_jk   |e_jh   |delta_h|log_age|log_age_error|num_log_age_stars|king_core_radius|king_core_radius_error|king_tidal_radius|king_tidal_radius_error|king_norm_factor|king_norm_factor_error|reference_code|cluster_type|metallicity|metallicity_error|num_metallicity_stars|comments                                                                                                                                                                                                                                                 |class                                              |
|         1990|Feigelson 1      |m         |o             |12 01 12|-78 20.1|300.314|-15.719|      0.070|         0.600|         0.950| -40.45|  -3.91|        1.56|   13.67|         0.87|                3|             1|               14|               26|     117|  0.000|           5.341|  0.000|  0.000| -0.080|  6.600|             |                 |            1.49|                  0.51|             2.33|                   0.33|          273.69|                197.69|DIAS          |var         |           |                 |                    0|Eps Cha cluster, brightest member is B9 V(N); nearby; center is shifted to 12.0200h,-78.335d.                                                                                                                                                            |                                       UNIDENTIFIED|
|         4114|MWSC 4114        |          |              |06 07 52|-78 13.2|289.716|-28.732|      0.030|         0.130|         0.240|   0.23|   5.86|        1.09|        |             |                 |             3|               24|               60|     962|  0.260|          10.000|  0.125|  0.083|  0.000|  9.400|             |                 |            0.97|                  0.41|             5.78|                   2.38|            3.31|                  0.90|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5680|MWSC 5680        |          |              |09 43 48|-78 12.3|293.860|-18.788|      0.020|         0.080|         0.150|  -3.54|   3.37|        0.87|        |             |                 |             3|               22|               59|    1050|  0.291|          10.200|  0.140|  0.093|  0.000|  9.300|             |                 |            0.49|                  0.22|             4.56|                   2.24|            9.24|                  3.01|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1955|FSR 1607         |          |              |11 33 00|-77 49.5|298.718|-15.600|      0.010|         0.085|         0.150|  -8.99|  -1.53|        0.92|        |             |                 |             2|               31|               69|    1561|  0.104|          11.001|  0.050|  0.033|  0.000|  9.565|        0.002|                2|            0.96|                  0.51|             7.54|                   4.22|            1.92|                  0.62|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         5698|MWSC 5698        |          |              |18 41 49|-77 43.4|316.599|-25.952|      0.017|         0.080|         0.150|   4.00|  -1.16|        1.16|        |             |                 |             2|               17|               49|    2069|  0.687|          11.800|  0.330|  0.220|  0.040|  8.890|             |                 |            1.78|                  0.52|             7.37|                   1.85|            5.21|                  1.04|ARIs          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2358|FSR 1675         |r         |c             |16 10 29|-77 39.6|312.857|-18.819|      0.020|         0.085|         0.135|  -4.02|  -6.28|        0.94|        |             |                 |             4|               30|               53|    5666|  0.104|          13.800|  0.050|  0.033|  0.000|  9.200|             |                 |            9.07|                  3.07|            20.23|                   4.11|            0.33|                  0.16|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         4140|MWSC 4140        |          |              |09 36 36|-77 28.8|293.040|-18.532|      0.020|         0.135|         0.225|  -3.25|   3.26|        0.83|        |             |                 |             3|               45|              112|    2465|  0.437|          12.100|  0.210|  0.140|  0.000|  9.280|             |                 |            3.34|                  1.00|            17.91|                   5.07|            1.11|                  0.15|AIPk          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         2089|FSR 1640         |          |              |13 11 55|-77 27.0|304.080|-14.624|      0.020|         0.090|         0.155| -14.11|  -0.42|        0.82|        |             |                 |             2|               36|               78|    6213|  0.104|          14.000|  0.050|  0.033|  0.000|  9.200|             |                 |            4.28|                  1.34|            28.35|                   9.13|            0.35|                  0.06|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1638|FSR 1579         |r         |c             |09 13 41|-77 25.5|292.108|-19.412|      0.020|         0.085|         0.150|  -5.36|   1.45|        0.87|        |             |                 |             5|               32|               65|    1000|  0.000|          10.000|  0.000|  0.000| -0.050|  9.500|             |                 |            1.32|                  0.34|             3.74|                   0.68|           20.72|                  5.92|FPOS          |            |           |                 |                    0|                                                                                                                                                                                                                                                         |                                  OPEN STAR CLUSTER|
|         1897|Chamaleon I      |          |              |11 03 36|-77 20.4|297.007|-15.726|      0.030|         0.220|         0.360|  -6.50|   8.89|        1.04|        |             |                 |             2|               29|               75|     380|  0.312|           7.999|  0.150|  0.100|  0.000|  6.000|             |                 |            1.24|                  0.24|             3.18|                   0.42|           55.74|                 13.84|BIEM          |irc         |           |                 |                    0|Center is shifted to 11.0600h,-77.340d (near of the cloud); nearby; sparse; one can see late Pre-MS stars only.                                                                                                                                          |                                  OPEN STAR CLUSTER|
