GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
301.3,5.46,12 39 21,-57 22 35,6.5,6.5,FSR 1621|MWSC 2058,OC   ,     ,contaminated                    ,REF507                                         ,8401
301.43,24.54,12 44 28,-38 18 36,23,23,MWSC 4158,OC   ,     ,                                ,REF3031                                        ,8405
301.43,-4.11,12 36 08,-66 56 32,5,5,FSR 1623|MWSC 2052,OC   ,     ,contaminated                    ,REF507                                         ,8406
301.47,2.2,12 39 32,-60 38 10,12,8.5,Trumpler 20|Harvard 7|Collinder 262|OCL 888|ESO 131-13|FSR 1624|MWSC 2060,OC   ,     ,                                ,REF239|REF610|REF1020|REF3032|REF3033          ,8407
301.5,-4.46,12 36 36,-67 17 24,48,48,ASCC 73|MWSC 2053,OC   ,     ,                                ,REF306                                         ,8409
301.51,4.42,12 40 37,-58 25 04,5,5,FSR 1625|MWSC 2061,OC   ,     ,                                ,REF507|REF3033                                 ,8411
301.68,-5.53,12 37 57,-68 22 35,6,6,Harvard 6|Collinder 261|OCL 889|BH 136|ESO 65-2|FSR 1627|MWSC 2055,OC   ,     ,                                ,REF239|REF1020|REF3032|REF3033                 ,8416
301.7,-18.7,12 19 53,-81 29 58,5,5,FSR 1626|MWSC 2014,OC   ,lPOCR,                                ,REF507                                         ,8418
302.04,-0.24,12 43 38,-63 06 10,4.5,4,Hogg 15|OCL 891|BH 139|ESO 95-15|MWSC 2063,OC   ,     ,related to WR 47?               ,REF239                                         ,8433
302.25,-18.12,12 34 55,-80 58 22,14,14,FSR 1629|MWSC 2049,OC   ,     ,faint stars                     ,REF507                                         ,8438
302.4,2.29,12 47 08,-60 34 41,30,30,Loden 682|MWSC 2065,OC   ,     ,                                ,REF281                                         ,8442
302.93,-6.84,12 51 25,-69 42 45,7,5.5,ESO 65-3|MWSC 2069,OC   ,     ,                                ,REF234                                         ,8456
302.97,-23.77,12 53 34,-86 38 41,19,19,MWSC 5684,OC   ,     ,                                ,REF1098                                        ,8457
303.01,-4.38,12 52 16,-67 14 55,4.5,3.5,BH 140|FSR 1632|MWSC 2071,OC   ,lPOCR,                                ,REF233|REF1015|REF1020|REF3033                 ,8459
303.16,2.05,12 53 20,-60 49 20,20,20,Loden 694|MWSC 2070,OC   ,     ,                                ,REF281                                         ,8464
303.21,2.5,12 53 42,-60 21 58,12,12,kappa Crucis|NGC 4755|Melotte 114|Collinder 264|OCL 892|BH 141|ESO 131-16|FSR 1633|MWSC 2072,OC   ,     ,in CenOB1A                      ,REF239|REF1020|REF3032|REF3033                 ,8468
303.36,1.92,12 55 00,-60 57 00,30,30,ASCC 72|MWSC 2044,OC   ,     ,                                ,REF306                                         ,8474
303.44,-19.18,13 05 18,-82 02 25,19,19,MWSC 5685,OC   ,     ,                                ,REF1098                                        ,8478
303.55,19.19,12 54 39,-43 40 22,14,14,FSR 1634|MWSC 2073,OC   ,     ,contaminated                    ,REF507                                         ,8481
303.61,19.38,12 54 57,-43 29 24,9,9,FSR 1635|MWSC 1635,OC   ,     ,                                ,REF507|REF970|REF1089                          ,8483
303.62,-2.09,12 58 01,-64 57 30,7,6,NGC 4815|Collinder 265|OCL 893|BH 142|ESO 96-1|FSR 1637|MWSC 2075,OC   ,     ,                                ,REF239|REF1020|REF3032|REF3033                 ,8484
303.72,-8.54,13 01 14,-71 23 41,10,10,FSR 1638|MWSC 2079,OC   ,     ,                                ,REF507|REF3033                                 ,8489
303.85,-31.58,00 11 28,-85 28 48,20,20,MWSC 4005,OC   ,     ,                                ,REF3031                                        ,8490
303.91,-30.3,23 51 54,-86 43 12,22,22,MWSC 4688,OC   ,     ,                                ,REF3031                                        ,8491
304.04,3.23,13 00 14,-59 37 25,11,11,NGC 4852|Melotte 116|Collinder 266|OCL 894|BH 143|ESO 131-17|MWSC 2078,OC   ,     ,                                ,REF239                                         ,8499
304.08,-14.61,13 11 58,-77 26 19,10,10,FSR 1640|MWSC 2089,OC   ,     ,contaminated                    ,REF507                                         ,8500
304.36,-1.72,13 04 46,-64 33 24,8,8,FSR 1641|MWSC 2081,OC   ,     ,contaminated| in dark nebula    ,REF507|REF3033                                 ,8504
304.87,1.49,13 07 36,-61 19 28,0.8,0.8,VVV 20|VVV-CL 020,OC   ,     ,                                ,REF903                                         ,8513
304.95,-22.93,14 27 18,-85 25 12,34,34,MWSC 4176,OC   ,     ,                                ,REF3031                                        ,8518
305.08,-2.51,13 11 58,-65 17 31,15,15,Loden 757|OCL 894.1|MWSC 2091,OC   ,     ,poor loose core                 ,REF238                                         ,8520
305.16,-10.83,13 22 31,-73 34 15,7,7,FSR 1642|MWSC 2112,OC   ,     ,                                ,REF507                                         ,8521
