"CWNU_id","l","b","sig_l","sig_b","n","plx","sig_plx","pmx","sig_pmx","pmy","sig_pmy","rv","sig_rv","nrv","logage","A0","m-M","class"
2890,353.638,-0.013,0.039,0.059,14,0.614,0.031,1.968,0.056,0.218,0.08,,,0,8.2,4.6,10.9,3
2891,319.601,-0.118,0.154,0.07,12,0.601,0.032,-3.771,0.075,-2.33,0.149,,,0,6,0.3,10.9,3
2892,96.039,4.188,0.021,0.042,13,0.442,0.018,-1.716,0.053,-2.457,0.04,,,0,8.85,3.25,11.8,3
2893,245.377,-1.63,0.093,0.058,12,0.33,0.051,-1.591,0.076,2.291,0.07,73,,1,8.95,1.55,12.45,3
2894,8.095,-1.97,0.038,0.027,13,0.403,0.01,0.163,0.044,-1.164,0.065,5.84,,1,7.9,3.7,11.75,3
2895,223.644,-3.348,0.116,0.057,13,0.279,0.08,-0.478,0.101,-0.387,0.064,,,0,7.45,1.95,12.4,3
2896,171.896,6.624,0.099,0.038,13,0.527,0.036,-0.609,0.04,-0.656,0.064,-25.1,,1,9.35,0.75,11.35,3
2897,97.492,-3.084,0.069,0.078,12,0.409,0.04,-1.661,0.076,-2.572,0.084,,,0,8.9,0.95,11.65,3
2898,292.254,-0.542,0.046,0.038,12,0.591,0.044,-7.08,0.02,1.568,0.058,7.35,,1,8.5,1.65,11.05,3
2899,253.749,-1.827,0.098,0.076,12,0.601,0.031,-4.381,0.044,3.977,0.077,,,0,8.55,0.4,11,3
2900,294.531,-0.138,0.053,0.036,13,0.621,0.038,-7.226,0.037,0.612,0.025,,,0,8.05,0.75,11.05,3
2901,306.221,1.386,0.098,0.075,11,0.419,0.021,-4.897,0.047,-0.713,0.081,,,0,9.2,1.6,12.1,3
2902,204.934,5.288,0.069,0.056,12,0.672,0.028,-2.449,0.05,0.053,0.031,,,0,7.35,0.65,10.75,3
2903,173.583,-1.143,0.264,0.108,12,0.399,0.032,1.095,0.119,-2.295,0.043,13.82,,1,8.9,1.5,12.35,3
2904,315.99,0.08,0.105,0.051,11,0.556,0.026,-5.641,0.033,-5.292,0.068,,,0,8.45,2.05,11.2,3
2905,242.292,1.046,0.037,0.159,12,0.277,0.027,-1.857,0.084,2.518,0.082,,,0,8.8,0.55,12.5,3
2906,274.225,2.783,0.032,0.058,11,0.331,0.019,-5.552,0.06,3.468,0.025,,,0,7.7,1.7,12.15,3
2907,264.317,-2.391,0.092,0.065,11,0.451,0.034,-5.812,0.068,4.589,0.045,,,0,7.05,1.1,11.7,3
2908,196.998,-0.34,0.089,0.03,10,0.619,0.037,-1.054,0.057,-0.922,0.042,,,0,7.6,1.65,11.2,3
2909,236.911,0.866,0.034,0.051,11,0.28,0.012,-2.143,0.055,2.408,0.055,,,0,7.4,1.75,12.9,3
2910,162.567,-1.458,0.198,0.123,10,0.292,0.04,0.448,0.066,-1.678,0.059,,,0,6.35,0.7,13.1,3
2911,90.339,1.122,0.031,0.047,10,0.545,0.017,-4.28,0.02,-4.174,0.042,,,0,6.8,1.95,11.25,3
2912,21.833,-0.487,0.049,0.059,10,0.389,0.033,0.198,0.056,-1.021,0.094,26.79,6,3,9.05,3.9,11.8,3
2913,12.466,-1.6,0.049,0.101,25,0.652,0.046,-0.212,0.078,-1.358,0.043,-42.86,,1,6.25,1.45,10.85,3
2914,261.77,-4.778,0.029,0.027,10,0.255,0.004,-2.881,0.042,3.764,0.029,61.21,0.11,2,8.7,2.35,12.75,3
2915,307.641,-0.805,0.062,0.037,20,0.237,0.038,-5.809,0.04,-1.681,0.048,,,0,6.5,4.35,13.4,3
2916,295.54,-1.282,0.044,0.015,20,0.353,0.038,-4.968,0.043,0.549,0.043,5.64,0.76,3,9.15,1.4,12.1,3
2917,327.586,0.445,0.078,0.05,17,0.502,0.059,-0.359,0.092,-0.95,0.115,,,0,6.9,2.05,11.8,3
2918,220.424,-0.501,0.076,0.066,22,0.381,0.022,-1.182,0.107,0.696,0.066,,,0,7.3,1.75,11.9,3
2919,279.102,-1.937,0.031,0.032,16,0.228,0.023,-4.131,0.101,3.678,0.066,,,0,8.8,2.25,13.45,3
2920,18.84,-1.846,0.088,0.066,20,0.368,0.03,-0.797,0.062,-2.828,0.102,,,0,6.8,2.35,11.95,3
2921,247.693,-6.163,0.089,0.117,19,0.446,0.027,-3.537,0.05,3.841,0.051,,,0,7.25,1.35,11.75,3
2922,304.111,-7.484,0.084,0.085,14,0.358,0.056,-6.279,0.078,-1.828,0.126,,,0,9.5,0.75,11.9,3
2923,248.355,0.729,0.024,0.024,16,0.203,0.013,-2.246,0.067,3.854,0.034,,,0,9.3,0.45,13.8,3
2924,309.755,11.711,0.082,0.138,15,0.358,0.044,-7.06,0.103,-2.695,0.111,,,0,9.65,0.6,12.45,3
2925,204.361,-1.152,0.21,0.165,13,0.327,0.04,0.228,0.064,-0.839,0.151,10.35,,1,8.6,1.7,12.35,3
2926,120.889,1.658,0.1,0.079,13,0.559,0.019,-2.256,0.024,-1.804,0.055,-32.81,,1,8.65,3.3,11.2,3
